Wavelength                  n                k
3.0000e-01     1.55277026e+00   2.86070000e-06
3.1000e-01     1.55047015e+00   1.36790000e-06
3.2000e-01     1.54817004e+00   6.66080000e-07
3.2200e-01     1.54586993e+00   4.65115000e-07
3.3400e-01     1.54315831e+00   2.64150000e-07
3.4400e-01     1.54044669e+00   1.78522000e-07
3.5000e-01     1.53899463e+00   9.28940000e-08
3.6500e-01     1.53754258e+00   3.41910000e-08
3.6600e-01     1.53609053e+00   3.07980000e-08
3.7000e-01     1.53490293e+00   2.74050000e-08
3.8000e-01     1.53371533e+00   2.07400000e-08
3.8800e-01     1.53252773e+00   1.72355000e-08
3.9000e-01     1.53178799e+00   1.37310000e-08
4.0000e-01     1.53104825e+00   1.02270000e-08
4.0500e-01     1.53030851e+00   9.05580000e-09
4.1000e-01     1.52956877e+00   9.22350000e-09
4.2000e-01     1.52832360e+00   9.39120000e-09
4.3200e-01     1.52707843e+00   1.02691000e-08
4.3600e-01     1.52601814e+00   1.11470000e-08
4.5400e-01     1.52495785e+00   1.07165000e-08
4.6000e-01     1.52404551e+00   1.02860000e-08
4.7600e-01     1.52313317e+00   1.00500333e-08
4.9800e-01     1.52154825e+00   9.81406667e-09
5.0000e-01     1.52085397e+00   9.57810000e-09
5.2000e-01     1.52015969e+00   8.70733333e-09
5.4200e-01     1.51893348e+00   7.83656667e-09
5.4600e-01     1.51838806e+00   6.96580000e-09
5.6400e-01     1.51784265e+00   8.10995000e-09
5.8000e-01     1.51735410e+00   9.25410000e-09
5.8600e-01     1.51686556e+00   1.01284000e-08
6.0800e-01     1.51598467e+00   1.10027000e-08
6.2000e-01     1.51558516e+00   1.18770000e-08
6.3000e-01     1.51518565e+00   1.21323333e-08
6.5200e-01     1.51445666e+00   1.23876667e-08
6.6000e-01     1.51412228e+00   1.26430000e-08
6.7400e-01     1.51378789e+00   1.14055000e-08
6.9600e-01     1.51317111e+00   1.01680000e-08
7.0000e-01     1.51288526e+00   8.93050000e-09
7.1800e-01     1.51259940e+00   9.00147059e-09
7.4000e-01     1.51206689e+00   9.07244118e-09
7.6200e-01     1.51156859e+00   9.14341176e-09
7.8400e-01     1.51110021e+00   9.21438235e-09
8.0600e-01     1.51065806e+00   9.28535294e-09
8.2800e-01     1.51023896e+00   9.35632353e-09
8.5000e-01     1.50984013e+00   9.42729412e-09
8.7200e-01     1.50945918e+00   9.49826471e-09
8.9400e-01     1.50909398e+00   9.56923529e-09
9.1600e-01     1.50874267e+00   9.64020588e-09
9.3800e-01     1.50840363e+00   9.71117647e-09
9.6000e-01     1.50807539e+00   9.78214706e-09
9.8200e-01     1.50775668e+00   9.85311765e-09
1.0040e+00     1.50744636e+00   9.92408824e-09
1.0260e+00     1.50714339e+00   9.99505882e-09
1.0480e+00     1.50684687e+00   1.00660294e-08
1.0600e+00     1.50670143e+00   1.01370000e-08
1.0700e+00     1.50655598e+00   1.41485000e-08
1.0920e+00     1.50626998e+00   1.81600000e-08
1.1140e+00     1.50598820e+00   2.21715000e-08
1.1360e+00     1.50571004e+00   2.61830000e-08
1.1580e+00     1.50543495e+00   3.01945000e-08
1.1800e+00     1.50516244e+00   3.42060000e-08
1.2020e+00     1.50489206e+00   3.82175000e-08
1.2240e+00     1.50462339e+00   4.22290000e-08
1.2460e+00     1.50435607e+00   4.62405000e-08
1.2680e+00     1.50408973e+00   5.02520000e-08
1.2900e+00     1.50382407e+00   5.42635000e-08
1.3120e+00     1.50355880e+00   5.82750000e-08
1.3340e+00     1.50329364e+00   6.22865000e-08
1.3560e+00     1.50302835e+00   6.62980000e-08
1.3780e+00     1.50276271e+00   7.03095000e-08
1.4000e+00     1.50249648e+00   7.43210000e-08
1.4220e+00     1.50222949e+00   7.83325000e-08
1.4440e+00     1.50196155e+00   8.23440000e-08
1.4660e+00     1.50169248e+00   8.63555000e-08
1.4880e+00     1.50142212e+00   9.03670000e-08
1.5100e+00     1.50115033e+00   9.43785000e-08
1.5300e+00     1.50101365e+00   9.83900000e-08
1.5320e+00     1.50087697e+00   1.45766667e-07
1.5540e+00     1.50060190e+00   1.93143333e-07
1.5760e+00     1.50032500e+00   2.40520000e-07
1.5980e+00     1.50004615e+00   2.87896667e-07
1.6200e+00     1.49976525e+00   3.35273333e-07
1.6420e+00     1.49948220e+00   3.82650000e-07
1.6640e+00     1.49919688e+00   4.30026667e-07
1.6860e+00     1.49890921e+00   4.77403333e-07
1.7080e+00     1.49861910e+00   5.24780000e-07
1.7300e+00     1.49832647e+00   5.72156667e-07
1.7520e+00     1.49803124e+00   6.19533333e-07
1.7740e+00     1.49773332e+00   6.66910000e-07
1.7960e+00     1.49743265e+00   7.14286667e-07
1.8180e+00     1.49712915e+00   7.61663333e-07
1.8400e+00     1.49682275e+00   8.09040000e-07
1.8620e+00     1.49651340e+00   8.56416667e-07
1.8840e+00     1.49620103e+00   9.03793333e-07
1.9060e+00     1.49588557e+00   9.51170000e-07
1.9280e+00     1.49556697e+00   9.98546667e-07
1.9500e+00     1.49524517e+00   1.04592333e-06
1.9700e+00     1.49508264e+00   1.09330000e-06
1.9720e+00     1.49492012e+00   1.27095556e-06
1.9940e+00     1.49459176e+00   1.44861111e-06
2.0160e+00     1.49426004e+00   1.62626667e-06
2.0380e+00     1.49392490e+00   1.80392222e-06
2.0600e+00     1.49358631e+00   1.98157778e-06
2.0820e+00     1.49324421e+00   2.15923333e-06
2.1040e+00     1.49289855e+00   2.33688889e-06
2.1260e+00     1.49254928e+00   2.51454444e-06
2.1480e+00     1.49219636e+00   2.69220000e-06
2.1700e+00     1.49183975e+00   2.86985556e-06
2.1920e+00     1.49147940e+00   3.04751111e-06
2.2140e+00     1.49111526e+00   3.22516667e-06
2.2360e+00     1.49074729e+00   3.40282222e-06
2.2580e+00     1.49037545e+00   3.58047778e-06
2.2800e+00     1.48999970e+00   3.75813333e-06
2.3020e+00     1.48961999e+00   3.93578889e-06
2.3240e+00     1.48923628e+00   4.11344444e-06
2.3250e+00     1.48904241e+00   4.29110000e-06
2.3460e+00     1.48884853e+00   4.77096250e-06
2.3680e+00     1.48845670e+00   5.25082500e-06
2.3900e+00     1.48806075e+00   5.73068750e-06
2.4120e+00     1.48766063e+00   6.21055000e-06
2.4340e+00     1.48725631e+00   6.69041250e-06
2.4560e+00     1.48684774e+00   7.17027500e-06
2.4780e+00     1.48643489e+00   7.65013750e-06
2.5000e+00     1.48601771e+00   8.13000000e-06
