axis           sinus    cosine
-1.00000    -0.84147   0.54030
-0.99760    -0.84017   0.54232
-0.99520    -0.83887   0.54434
-0.99279    -0.83756   0.54635
-0.99039    -0.83624   0.54836
-0.98799    -0.83492   0.55037
-0.98559    -0.83360   0.55237
-0.98319    -0.83227   0.55437
-0.98078    -0.83093   0.55637
-0.97838    -0.82960   0.55836
-0.97598    -0.82825   0.56036
-0.97358    -0.82690   0.56234
-0.97118    -0.82555   0.56433
-0.96878    -0.82419   0.56631
-0.96637    -0.82283   0.56829
-0.96397    -0.82146   0.57026
-0.96157    -0.82009   0.57223
-0.95917    -0.81871   0.57420
-0.95677    -0.81733   0.57617
-0.95436    -0.81595   0.57813
-0.95196    -0.81455   0.58009
-0.94956    -0.81316   0.58204
-0.94716    -0.81176   0.58399
-0.94476    -0.81035   0.58594
-0.94235    -0.80894   0.58789
-0.93995    -0.80753   0.58983
-0.93755    -0.80611   0.59176
-0.93515    -0.80469   0.59370
-0.93275    -0.80326   0.59563
-0.93034    -0.80183   0.59756
-0.92794    -0.80039   0.59948
-0.92554    -0.79895   0.60140
-0.92314    -0.79750   0.60332
-0.92074    -0.79605   0.60523
-0.91833    -0.79459   0.60714
-0.91593    -0.79313   0.60905
-0.91353    -0.79167   0.61095
-0.91113    -0.79020   0.61285
-0.90873    -0.78872   0.61475
-0.90633    -0.78724   0.61664
-0.90392    -0.78576   0.61853
-0.90152    -0.78427   0.62042
-0.89912    -0.78278   0.62230
-0.89672    -0.78128   0.62418
-0.89432    -0.77978   0.62605
-0.89191    -0.77827   0.62792
-0.88951    -0.77676   0.62979
-0.88711    -0.77525   0.63166
-0.88471    -0.77373   0.63352
-0.88231    -0.77221   0.63537
-0.87990    -0.77068   0.63723
-0.87750    -0.76914   0.63907
-0.87510    -0.76761   0.64092
-0.87270    -0.76607   0.64276
-0.87030    -0.76452   0.64460
-0.86789    -0.76297   0.64643
-0.86549    -0.76141   0.64827
-0.86309    -0.75986   0.65009
-0.86069    -0.75829   0.65192
-0.85829    -0.75672   0.65373
-0.85588    -0.75515   0.65555
-0.85348    -0.75357   0.65736
-0.85108    -0.75199   0.65917
-0.84868    -0.75041   0.66098
-0.84628    -0.74882   0.66278
-0.84388    -0.74722   0.66457
-0.84147    -0.74563   0.66637
-0.83907    -0.74402   0.66815
-0.83667    -0.74242   0.66994
-0.83427    -0.74080   0.67172
-0.83187    -0.73919   0.67350
-0.82946    -0.73757   0.67527
-0.82706    -0.73595   0.67704
-0.82466    -0.73432   0.67881
-0.82226    -0.73268   0.68057
-0.81986    -0.73105   0.68233
-0.81745    -0.72941   0.68408
-0.81505    -0.72776   0.68583
-0.81265    -0.72611   0.68758
-0.81025    -0.72446   0.68932
-0.80785    -0.72280   0.69106
-0.80544    -0.72114   0.69279
-0.80304    -0.71947   0.69452
-0.80064    -0.71780   0.69625
-0.79824    -0.71613   0.69797
-0.79584    -0.71445   0.69969
-0.79343    -0.71277   0.70140
-0.79103    -0.71108   0.70311
-0.78863    -0.70939   0.70482
-0.78623    -0.70769   0.70652
-0.78383    -0.70599   0.70822
-0.78143    -0.70429   0.70991
-0.77902    -0.70258   0.71160
-0.77662    -0.70087   0.71329
-0.77422    -0.69916   0.71497
-0.77182    -0.69744   0.71664
-0.76942    -0.69572   0.71832
-0.76701    -0.69399   0.71999
-0.76461    -0.69226   0.72165
-0.76221    -0.69052   0.72331
-0.75981    -0.68878   0.72497
-0.75741    -0.68704   0.72662
-0.75500    -0.68529   0.72827
-0.75260    -0.68354   0.72991
-0.75020    -0.68179   0.73155
-0.74780    -0.68003   0.73319
-0.74540    -0.67826   0.73482
-0.74299    -0.67650   0.73645
-0.74059    -0.67473   0.73807
-0.73819    -0.67295   0.73969
-0.73579    -0.67117   0.74130
-0.73339    -0.66939   0.74291
-0.73098    -0.66760   0.74452
-0.72858    -0.66581   0.74612
-0.72618    -0.66402   0.74772
-0.72378    -0.66222   0.74931
-0.72138    -0.66042   0.75090
-0.71898    -0.65861   0.75248
-0.71657    -0.65680   0.75406
-0.71417    -0.65499   0.75564
-0.71177    -0.65317   0.75721
-0.70937    -0.65135   0.75877
-0.70697    -0.64953   0.76034
-0.70456    -0.64770   0.76189
-0.70216    -0.64587   0.76345
-0.69976    -0.64403   0.76500
-0.69736    -0.64219   0.76654
-0.69496    -0.64035   0.76808
-0.69255    -0.63850   0.76962
-0.69015    -0.63665   0.77115
-0.68775    -0.63480   0.77268
-0.68535    -0.63294   0.77420
-0.68295    -0.63108   0.77572
-0.68054    -0.62922   0.77723
-0.67814    -0.62735   0.77874
-0.67574    -0.62548   0.78024
-0.67334    -0.62360   0.78174
