Wavelength         Intensity
  1.00e-07         1.31911e-09
  1.06e-07         1.90637e-09
  1.12e-07         2.75460e-09
  1.19e-07         3.97746e-09
  1.26e-07         5.73618e-09
  1.33e-07         8.25901e-09
  1.41e-07         1.18708e-08
  1.50e-07         1.70414e-08
  1.59e-07         2.44696e-08
  1.68e-07         3.52303e-08
  1.78e-07         5.10103e-08
  1.88e-07         7.43805e-08
  2.00e-07         1.08766e-07
  2.11e-07         1.57240e-07
  2.24e-07         2.19817e-07
  2.37e-07         2.93254e-07
  2.51e-07         3.79117e-07
  2.66e-07         4.94009e-07
  2.82e-07         6.73424e-07
  2.99e-07         9.66944e-07
  3.17e-07         1.38208e-06
  3.35e-07         1.79582e-06
  3.55e-07         2.14647e-06
  3.76e-07         2.62590e-06
  3.99e-07         3.59964e-06
  4.22e-07         4.88998e-06
  4.47e-07         5.54570e-06
  4.74e-07         6.11368e-06
  5.02e-07         7.96769e-06
  5.32e-07         9.21653e-06
  5.63e-07         8.94167e-06
  5.97e-07         1.02472e-05
  6.32e-07         1.00810e-05
  6.69e-07         8.23154e-06
  7.09e-07         8.02961e-06
  7.51e-07         5.20206e-06
  7.96e-07         4.19929e-06
  8.43e-07         2.66744e-06
  8.93e-07         4.22270e-06
  9.46e-07         7.44602e-06
  1.00e-06         1.48896e-05
  1.06e-06         2.33219e-05
  1.12e-06         3.03771e-05
  1.19e-06         3.40146e-05
  1.26e-06         3.12444e-05
  1.34e-06         2.25971e-05
  1.42e-06         1.05760e-05
  1.50e-06         5.58068e-06
  1.59e-06         1.10763e-05
  1.68e-06         1.91838e-05
  1.78e-06         1.94795e-05
  1.89e-06         8.17691e-06
  2.00e-06         1.42795e-05
  2.12e-06         3.75729e-05
  2.24e-06         6.05161e-05
  2.38e-06         4.48928e-05
  2.52e-06         1.16702e-05
  2.67e-06         2.70844e-05
  2.83e-06         7.88458e-05
  2.99e-06         7.74310e-05
  3.17e-06         5.00977e-05
  3.36e-06         6.21518e-05
  3.56e-06         4.98136e-05
  3.77e-06         7.47977e-05
  3.99e-06         1.22709e-04
  4.23e-06         5.99358e-05
  4.48e-06         1.03653e-04
  4.75e-06         1.54203e-04
  5.03e-06         1.19586e-04
  5.33e-06         1.23751e-04
  5.64e-06         1.70017e-04
  5.98e-06         1.58382e-04
  6.33e-06         2.29531e-04
  6.71e-06         2.03958e-04
  7.11e-06         2.53228e-04
  7.53e-06         3.02405e-04
  7.97e-06         2.82285e-04
  8.45e-06         3.13877e-04
  8.95e-06         3.63823e-04
  9.48e-06         3.92586e-04
  1.00e-05         4.71194e-04
  1.06e-05         5.66324e-04
  1.13e-05         5.64274e-04
  1.19e-05         5.59304e-04
  1.26e-05         6.56165e-04
  1.34e-05         8.31442e-04
  1.42e-05         9.03473e-04
  1.50e-05         9.80927e-04
  1.59e-05         1.16428e-03
  1.69e-05         1.21610e-03
  1.79e-05         1.26332e-03
  1.89e-05         1.50744e-03
  2.00e-05         1.74266e-03
  2.12e-05         1.93326e-03
  2.25e-05         2.12195e-03
  2.38e-05         2.28241e-03
  2.52e-05         2.74051e-03
  2.67e-05         2.86637e-03
  2.83e-05         3.31887e-03
  3.00e-05         3.77445e-03
