Wavelength (nm),Lens,Lens distance (cm),OD,Focal (cm),Camera position (cm),Nappe width (mm),Nappe thickness (mm),Beam power (mW)
405,Powell 5mm,0,5,12.7,11,7.13,0.27,40.9
405,Powell 5mm,0,5,12.7,11.1,7.24,0.26,40.9
405,Powell 5mm,0,5,12.7,11.2,7.38,0.25,40.9
405,Powell 5mm,0,5,12.7,11.3,7.5,0.23,40.9
405,Powell 5mm,0,5,12.7,11.4,7.63,0.22,40.9
405,Powell 5mm,0,5,12.7,11.5,7.76,0.21,40.9
405,Powell 5mm,0,5,12.7,11.6,7.88,0.21,41
405,Powell 5mm,0,5,12.7,11.7,8.02,0.19,41
405,Powell 5mm,0,5,12.7,11.8,8.13,0.19,41
405,Powell 5mm,0,5,12.7,11.9,8.26,0.18,41
405,Powell 5mm,0,5,12.7,12,8.4,0.17,41
405,Powell 5mm,0,5,12.7,12.1,8.52,0.15,41
405,Powell 5mm,0,5,12.7,12.2,8.66,0.14,41
405,Powell 5mm,0,5,12.7,12.3,8.76,0.13,41
